#,Fase,Categoría,Servicio,¿Sonia lo hace?,Precio (USD),Notas
1,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Pre-validación de documentos (checklist remoto),☐ Sí ☐ No,$________,
2,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Coordinación de Apostilla,☐ Sí ☐ No,$________,
3,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Traducción certificada (al español),☐ Sí ☐ No,$________,
4,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Recepción de documentos en Paraguay,☐ Sí ☐ No,$________,
5,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Poder notarial (para compras remotas),☐ Sí ☐ No,$________,🔴 PREGUNTA CLAVE
6,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Digitalización de documentos + cloud,☐ Sí ☐ No,$________,💡 Oportunidad
7,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Certificado de antecedentes internacionales (Interpol),☐ Sí ☐ No,$________,✅ Confirmado previo
8,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Apostilla de acta de nacimiento/matrimonio,☐ Sí ☐ No,$________,
9,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Apostilla de título educativo,☐ Sí ☐ No,$________,💡 Para profesionales
10,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Certificado médico en Paraguay,☐ Sí ☐ No,$________,
11,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Certificado de Vida y Residencia,☐ Sí ☐ No,$________,
12,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Carta de referencia bancaria del país de origen,☐ Sí ☐ No,$________,🟡 PREGUNTA
13,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Antecedentes policiales (Interpol PY),☐ Sí ☐ No,$________,
14,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Traducción inglés → español,☐ Sí ☐ No,$________,
15,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Traducción neerlandés → español,☐ Sí ☐ No,$________,✅ Especialidad
16,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Traducción alemán → español,☐ Sí ☐ No,$________,💡 Mercado creciente
17,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Certificación de traductor público,☐ Sí ☐ No,$________,
18,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Cadena de legalización de documentos,☐ Sí ☐ No,$________,
19,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Auditoría de documentos pre-arrivo (Zoom 30min),☐ Sí ☐ No,$________,💡 Oportunidad
20,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.1 Preparación de Documentos,Preparación de copias notariadas,☐ Sí ☐ No,$________,💡 Para trámites remotos
21,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Consulta gratuita 30 min,☐ Sí ☐ No,✅ Ya en el sitio,
22,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Consulta paga profunda (1hr),☐ Sí ☐ No,💡,
23,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,"Evaluación familiar (colegios, trabajo, hijos)",☐ Sí ☐ No,💡,
24,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Análisis de situación fiscal,☐ Sí ☐ No,🟡 PREGUNTA — ¿ella o contador?,
25,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Taller de planificación de inversión,☐ Sí ☐ No,💡 Para inversores,
26,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Sesión de planificación de presupuesto,☐ Sí ☐ No,💡 Calculadora costo de vida,
27,FASE 0 — PRE-ARRIVAL (Antes de que el cliente llegue),0.2 Consultoría Pre-Arrivo,Planificación de timeline,☐ Sí ☐ No,✅ 8-12 semanas,
